thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction
Very Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Often,Very Often,Often,Very Often,Sometime,Often,Very Often,Very Often,Often,Very Often,Sometimes,Very Often,Often,Rarely,Often,Rarely
Sometimes,Sometimes,Often,Rarely,Sometimes,Often,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Never,Rarely,Very Often,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Never,Often,Often,Sometimes,Sometimes,Often,Often,Often,Never,Sometimes,Very Often,Sometimes
Rarely,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Rarely,Sometimes,Very Often,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Often,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometime,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Very Often
Sometimes,Sometimes,Somtimes,Sometimes,Rarely,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Often,Sometime,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Rarely,Often,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Rarely,Sometimes,Sometimes
Often,Often,Somtimes,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes
Sometimes,Sometimes,Somtimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes
Often,Rarely,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Rarely
Often,Rarely,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely
Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Very Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes
Sometimes,Often,Rarely,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,Sometimes,Often,Rarely,Sometime,Often,Very Often,Sometimes,Often,Very Often,Very Often,Often,Rarely,Sometimes,Often,Often
Never,Often,Never,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Often,Very Often,Often
Often,Often,Rarely,Very Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Very Often,Very Often,Very Often,Often,Often,Sometimes,Very Often,Never,Often,Often,Often
Rarely,Often,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Often,Never,Often,Very Often,Often
Never,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Never,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Very Often,Very Often
Sometimes,Often,Somtimes,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,Sometimes,Very Often,Often
Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Very Often,Very Often,Often,Very Often,Often,Sometime,Very Often,Sometimes,Very Often,Often,Very Often,Often,Very Often,Very Often,Never,Often,Rarely
Sometimes,Sometimes,Rarely,Very Often,Often,Very Often,Very Often,Often,Often,Often,Often,Sometimes,Often,Often,Rarely,Rarely,Often,Very Often,Often,Sometimes,Often,Sometimes,Very Often,Rarely,Often,Often,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes
Rarely,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely
Sometimes,Never,Rarely,Often,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,Often,Sometimes
Rarely,Rarely,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Often,Rarely,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes
Sometimes,Often,Rarely,Sometimes,Rarely,Often,Sometimes,Often,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Often,Sometimes,Never,Rarely,Sometimes,Never,Rarely,Never,Often,Very Often,Very Often
Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never
Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometime,Often,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely
Sometimes,Rarely,Somtimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely
Often,Often,Somtimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely
Rarely,Rarely,Never,Never,Rarely,Never,Never,Sometimes,Sometimes,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Often,Rarely,Often
Sometimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometime,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely
Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes
Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes
Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometime,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes
Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes
Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,Sometime,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Rarely,Very Often,Sometimes
Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometime,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Rarely,Often,Sometimes
Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Often,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes
Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Often,Very Often,Very Often,Very Often,Very Often,Rarely,Rarely,Rarely
Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Often,Very Often,Very Often,Very Often,Very Often,Rarely,Rarely,Rarely
Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometime,Rarely,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely
Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Very Often,Very Often,Very Often,Very Often,Rarely,Rarely,Rarely
Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Very Often,Very Often,Very Often,Very Often,Rarely,Rarely,Rarely
Never,Never,Rarely,Rarely,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Sometime,Sometimes,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Rarely,Sometimes,Rarely
Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Often,Sometimes
Rarely,Sometimes,Never,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Never,Rarely,Very Often,Sometimes
Never,Never,Somtimes,Sometimes,Sometimes,Never,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Often,Sometimes,Often,Often,Often,Often,Often,Sometimes,Often,Often
Rarely,Rarely,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Often,Rarely,Often,Sometimes,Sometimes,Rarely,Never,Sometimes,Never,Never,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Sometimes
Very Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Never,Never,Rarely,Never,Sometimes,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,Rarely
Sometimes,Sometimes,Somtimes,Sometimes,Very Often,Sometimes,Often,Sometimes,Rarely,Often,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Rarely,Sometimes
Rarely,Rarely,Often,Often,Sometimes,Rarely,Often,Sometimes,Never,Rarely,Often,Often,Rarely,Never,Rarely,Rarely,Often,Often,Rarely,Rarely,Often,Often,Rarely,Sometimes,Often,Often,Sometimes
Sometimes,Often,Somtimes,Sometimes,Often,Rarely,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,Often,Never,Never,Never,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely
Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Often,Sometimes
Rarely,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Never,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Sometimes,Never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes
Sometimes,Sometimes,Often,Sometimes,Never,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Often,Rarely,Never,Rarely,Often,Sometimes,Rarely,Rarely,Sometimes,Never,Never,Never,Often,Sometimes
Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,Rarely,Sometimes,Never,Often,Sometimes,Sometimes,Often,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely
Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Never,Very Often
Very Often,Often,Somtimes,Very Often,Very Often,Sometimes,Often,Often,Very Often,Sometimes,Very Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Very Often,Often,Very Often,Rarely,Often,Rarely,Very Often
Never,Rarely,Somtimes,Sometimes,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Sometimes,Rarely,Often
Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Often,Never,Never,Sometimes,Sometimes,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
Rarely,Rarely,Never,Rarely,Never,Often,Never,Never,Never,Often,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Often
Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes
Rarely,Never,Somtimes,Rarely,Often,Rarely,Often,Sometimes,Often,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Never,Rarely
Sometimes,Often,Very Often,Very Often,Never,Rarely,Never,Very Often,Very Often,Sometimes,Never,Sometimes,Sometimes,Often,Sometimes,Never,Never,Very Often,Often,Very Often,Rarely,Never,Sometimes,Sometimes,Rarely,Often,Sometimes
Never,Rarely,Somtimes,Sometimes,Rarely,Often,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Rarely,Sometimes,Rarely,Very Often
Rarely,Sometimes,Somtimes,Often,Sometimes,Often,Very Often,Very Often,Very Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Often,Rarely,Sometimes,Often,Often,Sometimes,Rarely,Often
Often,Rarely,Never,Often,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Very Often,Never,Sometimes,Often,Sometimes
Never,Very Often,Somtimes,Rarely,Rarely,Very Often,Never,Very Often,Very Often,Never,Sometimes,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Sometimes,Never
Sometimes,Sometimes,Often,Rarely,Sometimes,Often,Rarely,Very Often,Often,Sometimes,Rarely,Often,Often,Rarely,Often,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Often,Rarely,Often
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Never,Never,Never,Sometimes,Never
Sometimes,Often,Somtimes,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometime,Sometimes,Very Often,Sometimes,Sometimes,Often,Often,Very Often,Often,Never,Sometimes,Rarely
Often,Very Often,Often,Sometimes,Often,Very Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometime,Sometimes,Very Often,Often,Sometimes,Often,Often,Very Often,Very Often,Never,Often,Sometimes
Sometimes,Often,Often,Sometimes,Very Often,Rarely,Often,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Never,Never,Never,Never,Rarely,Very Often,Very Often,Rarely,Often,Often,Sometimes,Rarely,Very Often,Sometimes
Sometimes,Sometimes,Somtimes,Never,Never,Sometimes,Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Never,Rarely,Very Often,Often
Never,Rarely,Never,Never,Never,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Never,Very Often,Sometimes,Often,Sometime,Never,Never,Sometimes,Very Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often
Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never
Often,Very Often,Somtimes,Often,Sometimes,Often,Very Often,Often,Very Often,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Often,Very Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes
Often,Sometimes,Never,Never,Never,Often,Never,Sometimes,Very Often,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Often,Very Often
Rarely,Often,Never,Sometimes,Rarely,Never,Never,Very Often,Very Often,Rarely,Often,Never,Rarely,Never,Never,Never,Never,Never,Never,Sometimes,Often,Never,Never,Never,Very Often,Never,Often
Never,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometime,Sometimes,Often,Often,Often,Rarely,Sometimes,Often,Often,Sometimes,Never,Often
Often,Rarely,Often,Sometimes,Never,Often,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Often,Rarely,Never
Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never
Often,Very Often,Somtimes,Sometimes,Often,Sometimes,Very Often,Very Often,Very Often,Often,Very Often,Sometimes,Often,Often,Often,Sometime,Sometimes,Very Often,Often,Very Often,Very Often,Sometimes,Very Often,Very Often,Never,Often,Rarely
Very Often,Often,Often,Often,Sometimes,Very Often,Very Often,Very Often,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometime,Often,Very Often,Often,Often,Very Often,Often,Very Often,Very Often,Never,Often,Rarely
Sometimes,Often,Often,Often,Rarely,Very Often,Sometimes,Never,Never,Often,Rarely,Rarely,Never,Rarely,Rarely,Sometime,Sometimes,Sometimes,Sometimes,Never,Never,Often,Very Often,Rarely,Rarely,Very Often,Very Often
Rarely,Very Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Very Often,Sometimes,Rarely,Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Never,Very Often,Often,Sometimes,Rarely,Often,Very Often,Often
Sometimes,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Often,Very Often,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Very Often,Very Often
Sometimes,Never,Rarely,Often,Very Often,Often,Often,Often,Rarely,Rarely,Sometimes,Never,Sometimes,Very Often,Often,Never,Rarely,Sometimes,Never,Never,Often,Very Often,Sometimes,Very Often,Sometimes,Very Often,Very Often
Rarely,Sometimes,Rarely,Rarely,Never,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Never,Sometimes,Rarely,Never,Never,Never,Often,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Rarely
Very Often,Never,Very Often,Very Often,Very Often,Often,Often,Never,Sometimes,Very Often,Very Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Never,Sometimes,Often,Very Often,Very Often,Never,Very Often,Very Often,Very Often
Very Often,Often,Somtimes,Very Often,Sometimes,Never,Rarely,Never,Very Often,Often,Often,Rarely,Rarely,Rarely,Often,Often,Very Often,Very Often,Sometimes,Rarely,Often,Often,Never,Sometimes,Very Often,Very Often,Very Often
Sometimes,Very Often,Very Often,Often,Sometimes,Often,Very Often,Rarely,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Sometimes,Very Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Very Often,Very Often,Very Often,Very Often
Never,Very Often,Often,Rarely,Often,Often,Rarely,Never,Rarely,Rarely,Very Often,Sometimes,Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Sometimes,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Very Often
Rarely,Often,Often,Sometimes,Rarely,Rarely,Never,Very Often,Very Often,Never,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Often,Rarely,Often
Sometimes,Sometimes,Rarely,Often,Rarely,Rarely,Sometimes,Often,Very Often,Never,Never,Rarely,Rarely,Never,Sometimes,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Very Often,Sometimes,Very Often
Rarely,Very Often,Very Often,Often,Often,Often,Often,Very Often,Sometimes,Never,Rarely,Never,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Never,Often,Rarely,Very Often
Sometimes,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
Sometimes,Often,Very Often,Often,Sometimes,Sometimes,Often,Often,Very Often,Often,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Never,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Often,Rarely,Sometimes
